District,Price,m² (Net),Number of rooms,Building Age,Floor location,Heating,Number of bathrooms,Balcony,Furnished,Available for Loan,Fiber Internet,Kitchen (Built-in),Security,Thermal Insulation,Generator,Indoors_Parking,Doorman,Playground,Sound insulation,Shopping_Mall,Mosque,Pharmacy,Amusement center,Hospital,High school,Market,Police station,The health clinic,District Market,Gym,University,Primary School-Secondary School,Town center,Highway,Shared_Taxi_Dolmus,E-5,Airport,Metro,Metrobus,TEM,Nature,Mezzanine,Accessibility_Score,Is_Handicap_Accessible
Zeytinburnu,370000,85.0,3,21-25 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahçelievler,360000,90.0,3,0,1,1,1,1,No,Yes,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Eyüpsultan,215000,70.0,2,16-20 between,0,1,1,0,No,No,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
Ataşehir,240000,48.0,2,0,1,1,1,0,No,Yes,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Büyükçekmece,275000,95.0,3,26-30 between,2,1,1,1,Yes,Yes,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Fatih,360000,90.0,3,31  and more than,0,1,1,1,No,Yes,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1
Adalar,2700000,280.0,5,26-30 between,1,0,2,1,No,Yes,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Arnavutköy,420000,182.0,6,0,2,1,2,1,No,Yes,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0
Esenler,226000,100.0,3,21-25 between,2,1,1,1,No,No,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Bakırköy,575000,80.0,4,21-25 between,2,1,2,1,No,Yes,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
Gaziosmanpaşa,250000,85.0,3,26-30 between,2,0,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Şişli,650000,100.0,3,16-20 between,0,1,1,1,No,Yes,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
Maltepe,240000,70.0,3,0,0,1,1,0,No,Yes,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Beyoğlu,840000,90.0,3,16-20 between,1,1,1,1,No,Yes,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0
Fatih,318500,90.0,3,31  and more than,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Bakırköy,6750000,450.0,8,5-10 between,1,1,4,1,No,Yes,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
Beşiktaş,650000,90.0,3,26-30 between,1,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuzla,290000,67.0,3,5-10 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnavutköy,230000,80.0,3,4,1,1,2,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zeytinburnu,520000,110.0,4,21-25 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
Tuzla,217000,48.0,2,4,1,1,1,0,No,Yes,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0
